common_name,date,prop_pop
Hudsonian Godwit,2018-08-03,0
Hudsonian Godwit,2018-08-10,0
Hudsonian Godwit,2018-08-17,0
Hudsonian Godwit,2018-08-24,0
Hudsonian Godwit,2018-08-31,0
Hudsonian Godwit,2018-09-07,0
Hudsonian Godwit,2018-09-14,0
Hudsonian Godwit,2018-09-21,0
Hudsonian Godwit,2018-09-28,0
Hudsonian Godwit,2018-10-05,0
Hudsonian Godwit,2018-10-12,0
Hudsonian Godwit,2018-10-19,0
Hudsonian Godwit,2018-10-26,0
Hudsonian Godwit,2018-11-02,0
Hudsonian Godwit,2018-11-09,0
Hudsonian Godwit,2018-11-16,0
Hudsonian Godwit,2018-11-23,0
Hudsonian Godwit,2018-11-30,0
Hudsonian Godwit,2018-12-07,0
Hudsonian Godwit,2018-12-14,0
Hudsonian Godwit,2018-12-21,0
Hudsonian Godwit,2018-12-28,0
Willet,2018-01-04,0
Willet,2018-01-11,0
Willet,2018-01-18,0
Willet,2018-01-25,0
Willet,2018-02-01,0
Willet,2018-02-08,0
Willet,2018-02-15,0
Willet,2018-02-22,0
Willet,2018-03-01,0
Willet,2018-03-08,0
Willet,2018-03-15,0
Willet,2018-03-22,0
Willet,2018-03-29,0
Willet,2018-04-05,0
Willet,2018-04-12,2.3552074193398403e-4
Willet,2018-04-19,0.01201531542411797
Willet,2018-04-26,0.025417494218356682
Willet,2018-05-03,0.010534834944004241
Willet,2018-05-10,0.0011407107264642471
Willet,2018-05-17,4.60223683261954e-4
Willet,2018-05-24,8.615982218817777e-5
Willet,2018-05-31,3.63581345704625e-6
Willet,2018-06-07,7.499586165994657e-7
Willet,2018-06-14,4.187944932323943e-6
Willet,2018-06-21,4.966783827294199e-6
Willet,2018-06-28,3.644662906870553e-5
Willet,2018-07-06,1.9607446067388694e-4
Willet,2018-07-13,5.672813651011042e-4
Willet,2018-07-20,0.0016608592216367504
Willet,2018-07-27,0.001238680668473635
Willet,2018-08-03,5.732491404275855e-4
Willet,2018-08-10,3.6975083313905353e-4
Willet,2018-08-17,1.4032011041387857e-4
Willet,2018-08-24,1.4396619633657564e-4
Willet,2018-08-31,3.236940769567229e-4
Willet,2018-09-07,5.969702216846405e-4
Willet,2018-09-14,0.0014975956647048404
Willet,2018-09-21,0
Willet,2018-09-28,0
Willet,2018-10-05,0
Willet,2018-10-12,0
Willet,2018-10-19,0
Willet,2018-10-26,0
Willet,2018-11-02,0
Willet,2018-11-09,0
Willet,2018-11-16,0
Willet,2018-11-23,0
Willet,2018-11-30,0
Willet,2018-12-07,0
Willet,2018-12-14,0
Willet,2018-12-21,0
Willet,2018-12-28,0
Marbled Godwit,2018-01-04,0
